rowid,FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
27,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Enotecca Wineries and Resorts Inc,Enotecca Wineries and Resorts Inc,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,200163
28,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Ex Nihilo Vineyards,Ex Nihilo Vineyards,Lake Country,Lake Country,British Columbia,Colombie-Britannique,,,0,170830
29,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Ferme CMJI Robert Inc,Ferme CMJI Robert Inc,Richelieu,Richelieu,Quebec,Québec,,,0,218584
30,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Fielding Wines Limited,Fielding Wines Limited,St Catharines,St Catharines,Ontario,Ontario,,,0,155757
31,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Fort Berens Estate Winery Ltd,Fort Berens Estate Winery Ltd,Kelowna,Kelowna,British Columbia,Colombie-Britannique,,,0,170800
32,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Frind Winery Ltd,Frind Winery Ltd,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,654247
33,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Gehringer Bros Enterprises Ltd,Gehringer Bros Enterprises Ltd,Osoyoos,Osoyoos,British Columbia,Colombie-Britannique,,,0,296048
34,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Gold Hill Winery Ltd,Gold Hill Winery Ltd,Osoyoos,Osoyoos,British Columbia,Colombie-Britannique,,,0,105799
35,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Grand Pre Wines Limited,Grand Pre Wines Limited,Wolfville,Wolfville,Nova Scotia,Nouvelle-Écosse,,,0,106412
36,2023/2024,2,Agriculture and Agri-Food,Agriculture et Agroalimentaire,001,Department of Agriculture and Agri-Food,Ministère de l'Agriculture et de l'Agroalimentaire,Grants to support the Canadian wine industry,Subventions à l'appui de l'industrie vinicole canadienne,Hardie Wines Limited,Hardie Wines Limited,Toronto,Toronto,Ontario,Ontario,,,0,100536
