title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
High voltage and insulation engineering for energy transmission and distribution,No summary - Aucun sommaire,6139-1990,1990,1991-1992,"Srivastava, Krishan",The University of British Columbia,Electrical Engineering,British Columbia,43542.0,2-3,Discovery Grants Program - Individual,Electrical Engineering (H),Power systems,Energy storage and conversion,No Co-Researcher,No Partners,100469,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100469
Molecular genetic analyses of reactive oxygen metabolism in dropsophilia,No summary - Aucun sommaire,9722-1996,1996,1996-1997,"Phillips, John",University of Guelph,Molecular Biology and Genetics,Ontario,57500.0,1-4,Discovery Grants Program - Individual,Molec. & Develop. Genetics,Molecular genetics,Not available,No Co-Researcher,No Partners,10047,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10047
Molecular basis for gibberellin action,No summary - Aucun sommaire,2905-1991,1991,1991-1992,"Srivastava, Lalit",Simon Fraser University,Biological Sciences,British Columbia,32844.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,"Nutrition and metabolism, photosynthesis",Life sciences (including biotechnology),No Co-Researcher,No Partners,100470,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100470
Multivariate analysis,No summary - Aucun sommaire,4060-1991,1991,1991-1992,"Srivastava, Muni",University of Toronto,Statistics,Ontario,30240.0,1-3,Discovery Grants Program - Individual,Statistical Sciences,Multivariate analysis,Not available,No Co-Researcher,No Partners,100471,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100471
Statistical computing facility,No summary - Aucun sommaire,37021-1991,1991,1991-1992,"Srivastava, Muni",University of Toronto,Statistics,Ontario,30000.0,1-3,Infrastructure Grants (H),Statistical Sciences,Statistical theory,Psychology,"Andrews, DavidBrunner, LawrenceEvans, MichaelFeuerverger, AndreyFraser, DonaldGuttman, IrwinKnight, KeithLeblanc, MichaelMo, MoxiuReid, NancyTibshirani, Robert",No Partners,100472,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100472
Etude des structures pneumatiques,No summary - Aucun sommaire,7767-1989,1989,1991-1992,"Srivastava, Narendra",Université de Moncton,Génie (Ecole),New Brunswick,18000.0,3-3,Discovery Grants Program - Group,Civil Engineering,Structural engineering,Materials performance,"Turkkan, Noyan",No Partners,100473,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100473
"Goldfish reproduction: hormones, pheromones, and behavior",No summary - Aucun sommaire,2903-1991,1991,1991-1992,"Stacey, Norm",University of Alberta,Zoology,Alberta,58000.0,1-3,Discovery Grants Program - Individual,Animal Physiology (H),Not available,Life sciences (including biotechnology),No Co-Researcher,No Partners,100474,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100474
Methodology of automated theorem proving systems,No summary - Aucun sommaire,9136-1989,1989,1991-1992,"Stachniak, Zbigniew",York University,Computer Science,Ontario,9000.0,3-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),"Artificial intelligence (computer vision, use2603)",Computer software,No Co-Researcher,No Partners,100475,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100475
No title - Aucun titre,No summary - Aucun sommaire,111930-1991,1991,1991-1992,"Stadel, Joachim",University of Toronto,Physics,Ontario,13952.0,Not available,1967 Science and Engineering Scholarships,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100476,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100476
No title - Aucun titre,No summary - Aucun sommaire,118548-1991,1991,1991-1992,"Stadel, Joachim",Brandon University,Physics & Astronomy,Manitoba,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Psychology,Not available,No Co-Researcher,No Partners,100477,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100477
Experimental study of the electronic structure and magnetic properties of icosahedral alloys,No summary - Aucun sommaire,105749-1991,1991,1991-1992,"Stadnik, Zbigniew",University of Ottawa,Physics,Ontario,25000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,"Surfaces, interfaces and thin films",Physical sciences,No Co-Researcher,No Partners,100478,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100478
Mossbauer cryostat with nine tesla superconducting magnet,No summary - Aucun sommaire,122251-1992,1992,1991-1992,"Stadnik, Zbigniew",University of Ottawa,Physics,Ontario,44412.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Condensed Matter Physics,Magnetic properties and magnetic materials,Physical sciences,No Co-Researcher,No Partners,100479,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100479
Large-scale modelling and mechanisms of soil/pipe interaction: under lateral and axial loading,No summary - Aucun sommaire,188327-1995,1995,1996-1997,"Phillips, Ryan",Centre for Cold Ocean Resources Engineering,Head Office,Newfoundland and Labrador,69192.0,2-3,Collaborative Research and Development Grants,University/Industry,Geotechnical engineering (including engineering geology),Materials performance,"Clark, Jack",Government of Newfoundland & LabradorNOVA Gas Transmission Ltd,10048,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10048
No title - Aucun titre,No summary - Aucun sommaire,112150-1991,1991,1991-1992,"Staffa, Alfredo",McGill University,Microbiology & Immunology,Québec,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100480,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100480
No title - Aucun titre,No summary - Aucun sommaire,117229-1991,1991,1991-1992,"Stafford, Edward",Pulp and Paper Research Institute of Canada,Head Office,Québec,3200.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100481,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100481
Response of buildings to lateral loads,No summary - Aucun sommaire,3753-1990,1990,1991-1992,"StaffordSmith, Bryan",McGill University,Civil Engineering & App. Mechanics,Québec,32000.0,2-3,Discovery Grants Program - Individual,Civil Engineering,Structural analysis,Not available,No Co-Researcher,No Partners,100482,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100482
Magnetism and superconductivity of alloys and compounds,No summary - Aucun sommaire,1867-1991,1991,1991-1992,"Stager, Carl",McMaster University,Physics,Ontario,20000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,Superconductivity,Physical sciences,No Co-Researcher,No Partners,100483,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100483
No title - Aucun titre,No summary - Aucun sommaire,119531-1991,1991,1991-1992,"Staines, WRichard",University of Guelph,Human Kinetics,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Animal physiology and metabolism,Not available,No Co-Researcher,No Partners,100484,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100484
IPP-82.01 - The ZEUS experiment at HERA,No summary - Aucun sommaire,8866-1991,1991,1991-1992,"Stairs, Douglas",McGill University,Physics,Québec,343000.0,1-2,Discovery Grants Program - Project,Subatomic Physics,Not available,Not available,No Co-Researcher,No Partners,100485,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100485
No title - Aucun titre,No summary - Aucun sommaire,118789-1991,1991,1991-1992,"Stairs, Ingrid",Queen's University,Physics,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Nuclear physics,Not available,No Co-Researcher,No Partners,100486,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100486
No title - Aucun titre,No summary - Aucun sommaire,91507-1990,1990,1991-1992,"Stairs, Robert",Massachusetts Institute of Technology,Ocean Engineering,Massachusetts,3511.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Offshore engineering,Not available,No Co-Researcher,No Partners,100487,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100487
No title - Aucun titre,No summary - Aucun sommaire,120394-1991,1991,1991-1992,"StAmant, Alain",Université Laval,Génie électrique,Québec,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),Electron devices,Not available,No Co-Researcher,No Partners,100488,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100488
No title - Aucun titre,No summary - Aucun sommaire,110928-1991,1991,1991-1992,"StAmant, Alain",University of California - San Francisco,Pharmaceutical Chemistry,California,9592.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Theoretical physics and chemistry,Not available,No Co-Researcher,No Partners,100489,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100489
No title - Aucun titre,No summary - Aucun sommaire,187814-1996,1996,1996-1997,"Phillips, Stuart",Shriners Burns Institute,Head Office,Ohio,29000.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,10049,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10049
No title - Aucun titre,No summary - Aucun sommaire,45840-1989,1989,1991-1992,"Stamp, Philip",The University of British Columbia,Physics,British Columbia,30500.0,Not available,University Research Fellowships (H),Univ. Res. Fellowships (H),Not available,Not available,No Co-Researcher,No Partners,100490,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100490
Strong interaction and coherence effects in condensed matter systems,No summary - Aucun sommaire,43249-1989,1989,1991-1992,"Stamp, Philip",The University of British Columbia,Physics,British Columbia,32360.0,3-3,University Research Fellowships (H),Condensed Matter Physics,Theoretical physics and chemistry,Physical sciences,No Co-Researcher,No Partners,100491,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100491
Analysis of large biomolecules and molecular clusters by mass spectrometry,No summary - Aucun sommaire,3267-1991,1991,1991-1992,"Standing, Kenneth",University of Manitoba,Physics,Manitoba,40320.0,1-3,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Spectroscopy,Physical sciences,No Co-Researcher,No Partners,100492,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100492
Departure processes and delays in open queueing networks,No summary - Aucun sommaire,41187-1990,1990,1991-1992,"Stanford, David",The University of Western Ontario,Statistics and Actuarial Sc.,Ontario,12000.0,2-3,Discovery Grants Program - Individual,Industrial Engineering,Operations research and management science,Electrical and electronic machinery and equipment (including computer hardware),No Co-Researcher,No Partners,100493,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100493
No title - Aucun titre,No summary - Aucun sommaire,115723-1991,1991,1991-1992,"Stang, Norman",The University of British Columbia,Civil Engineering,British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Transportation engineering,Not available,No Co-Researcher,No Partners,100494,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100494
Fusion engineering studies,No summary - Aucun sommaire,8853-1990,1990,1991-1992,"Stangeby, Peter",University of Toronto,Aerospace Studies (Institute),Ontario,40000.0,2-3,Discovery Grants Program - Individual,General Physics,Other studies in natural sciences and engineering,Nuclear energy,No Co-Researcher,No Partners,100495,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100495
No title - Aucun titre,No summary - Aucun sommaire,98108-1990,1990,1991-1992,"Stangier, Stefanie",University of Ottawa,Mechanical Engineering,Ontario,5019.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Solid mechanics,Not available,No Co-Researcher,No Partners,100496,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100496
No title - Aucun titre,No summary - Aucun sommaire,109213-1991,1991,1991-1992,"Stangier, Stefanie",Lakehead University,Mechanical Engineering,Ontario,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Solid mechanics,Not available,No Co-Researcher,No Partners,100497,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100497
Two phase flow in deviated wells and pressure transient analysis,No summary - Aucun sommaire,6777-1990,1990,1991-1992,"Stanislav, Jaroslav",University of Calgary,Chemical & Petroleum Engineering,Alberta,18000.0,2-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Chemical engineering,"Oil, gas and coal",No Co-Researcher,No Partners,100498,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100498
No title - Aucun titre,No summary - Aucun sommaire,97090-1990,1990,1991-1992,"Stanley, Catherine",University of Toronto,Mathematics,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100499,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100499
No title - Aucun titre,No summary - Aucun sommaire,160799-1994,1994,1996-1997,"Bergmans, Geraldine",University of Victoria,Geography,British Columbia,5220.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Geomorphology,Not available,No Co-Researcher,No Partners,1005,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=1005
No title - Aucun titre,No summary - Aucun sommaire,174769-1995,1995,1996-1997,"Phillmore, Leslie",Queen's University,Psychology,Ontario,15600.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Behaviour,Not available,No Co-Researcher,No Partners,10050,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10050
No title - Aucun titre,No summary - Aucun sommaire,108988-1991,1991,1991-1992,"Stanley, Catherine",University of Toronto,Mathematics,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100500,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100500
No title - Aucun titre,No summary - Aucun sommaire,120237-1991,1991,1991-1992,"Stanley, Christopher",University of New Brunswick,Geology,New Brunswick,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),"Paleontology, paleobiology",Not available,No Co-Researcher,No Partners,100501,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100501
Texture-structure relationships in food,No summary - Aucun sommaire,6252-1991,1991,1991-1992,"Stanley, David",University of Guelph,Food Science,Ontario,60850.0,1-3,Discovery Grants Program - Individual,Plant Biology & Food Science,"Food processing, packaging, preservation and storage",Processed food products and beverages,No Co-Researcher,No Partners,100502,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100502
No title - Aucun titre,No summary - Aucun sommaire,114323-1991,1991,1991-1992,"Stanley, Donald",University of Toronto,Mathematics,Ontario,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Pure mathematics,Not available,No Co-Researcher,No Partners,100503,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100503
No title - Aucun titre,No summary - Aucun sommaire,93835-1990,1990,1991-1992,"Stanley, Michael",University of Arizona,Mining & Geological Engineering,Arizona,5550.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Economic geology,Not available,No Co-Researcher,No Partners,100504,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100504
No title - Aucun titre,No summary - Aucun sommaire,108363-1991,1991,1991-1992,"Stanley, Michael",University of Arizona,Mining & Geological Engineering,Arizona,11112.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),Economic geology,Not available,No Co-Researcher,No Partners,100505,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100505
No title - Aucun titre,No summary - Aucun sommaire,105124-1990,1990,1991-1992,"Stanners, Colin",University of California - Berkeley,Physics,California,19408.0,Not available,Postdoctoral Fellowships,Schol/Fellow: Maths/Phys Sc (H),Particle physics,Not available,No Co-Researcher,No Partners,100506,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100506
Particle transport in plasmas,No summary - Aucun sommaire,6848-1990,1990,1991-1992,"Stansfield, Barry",Institut national de la recherche scientifique,INRS - Énergie et matériaux,Québec,14000.0,2-2,Discovery Grants Program - Individual,General Physics,Plasma physics,Nuclear energy,No Co-Researcher,No Partners,100507,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100507
Computer algorithms in combinatorics,No summary - Aucun sommaire,3101-1991,1991,1991-1992,"Stanton, Ralph",University of Manitoba,Computer Science,Manitoba,38000.0,1-3,Discovery Grants Program - Individual,Computing & Information Sci. (H),Mathematics of computing,Mathematical sciences,No Co-Researcher,No Partners,100508,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100508
No title - Aucun titre,No summary - Aucun sommaire,91565-1990,1990,1991-1992,"Stapinsky, Martin",Université Laval,Géologie,Québec,40.0,Not available,Postgraduate Scholarships,Schol/Fellow: Maths/Phys Sc (H),Earth science (see also marine geology 4604),Not available,No Co-Researcher,No Partners,100509,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100509
"Systematic & evolutionary studies in Rosaceae, Maloideae, Crataegus",No summary - Aucun sommaire,1726-1993,1993,1996-1997,"Phipps, James",The University of Western Ontario,Plant Sciences,Ontario,28547.0,4-4,Discovery Grants Program - Individual,Evolution & Ecology,"Taxonomy, systematics and phylogenetics",Not available,No Co-Researcher,No Partners,10051,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10051
No title - Aucun titre,No summary - Aucun sommaire,118788-1991,1991,1991-1992,"Staple, Tamara",Queen's University,Geography,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Geomorphology,Not available,No Co-Researcher,No Partners,100510,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100510
No title - Aucun titre,No summary - Aucun sommaire,108707-1991,1991,1991-1992,"Staples, James",The University of British Columbia,Zoology,British Columbia,16700.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100511,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100511
Nonlinear microwave circuits,No summary - Aucun sommaire,41824-1989,1989,1991-1992,"Stapleton, Shawn",Simon Fraser University,Engineering Science (School),British Columbia,19180.0,3-3,Discovery Grants Program - Individual,Electrical Engineering (H),Circuit theory,Transport equipment,No Co-Researcher,No Partners,100512,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100512
The development of image analysis and X-ray petrofabric methods and their application to deformed rocks and detrital sediments,No summary - Aucun sommaire,3555-1990,1990,1991-1992,"Starkey, John",The University of Western Ontario,Geology,Ontario,14000.0,2-3,Discovery Grants Program - Individual,Solid Earth Sciences,Earth science (see also marine geology 4604),"Land, solid earth, seabeds and ocean floors",No Co-Researcher,No Partners,100513,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100513
Pedogenesis and mineral weathering,No summary - Aucun sommaire,1446-1989,1989,1991-1992,"StArnaud, Roland",University of Saskatchewan,Soil Science,Saskatchewan,30173.0,3-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Soil science,Farming: soil and water resources,No Co-Researcher,No Partners,100514,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100514
New signal analysis techniques for clinical EMG,No summary - Aucun sommaire,44330-1989,1989,1991-1992,"Stashuk, Daniel",University of Waterloo,Systems Design Engineering,Ontario,13850.0,3-3,Discovery Grants Program - Individual,Electrical Engineering (H),Biomedical technology,Biomedical engineering,No Co-Researcher,No Partners,100515,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100515
Intelligent clinical EMG signal acquisition & analysis system,No summary - Aucun sommaire,99233-1989,1989,1991-1992,"Stashuk, Daniel",University of Waterloo,Systems Design Engineering,Ontario,14000.0,3-3,Collaborative Research and Development Grants,University/Industry,Biomedical technology,Human health (including medically-related psychological research),No Co-Researcher,Clark Davis Medical Systems Inc.,100516,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100516
No title - Aucun titre,No summary - Aucun sommaire,112010-1991,1991,1991-1992,"Stathopoulos, Nicholas",McGill University,Mechanical Engineering,Québec,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Eng/Comp Science (H),"Aerospace, aeronautical and automotive engineering",Not available,No Co-Researcher,No Partners,100517,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100517
No title - Aucun titre,No summary - Aucun sommaire,119042-1991,1991,1991-1992,"Stathopoulos, Nicholas",McGill University,Mechanical Engineering,Québec,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Eng/Comp Science (H),"Aerospace, aeronautical and automotive engineering",Not available,No Co-Researcher,No Partners,100518,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100518
Wind effects on buildings and their codification,No summary - Aucun sommaire,1213-1989,1989,1991-1992,"Stathopoulos, Theodore",Concordia University,Center for Building Stud.,Québec,35000.0,3-3,Discovery Grants Program - Individual,Civil Engineering,Structural engineering,Structural engineering,No Co-Researcher,No Partners,100519,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100519
No title - Aucun titre,No summary - Aucun sommaire,184758-1996,1996,1996-1997,"Phoenix, Aaron",University of Calgary,Chemical and Petroleum Engineering,Alberta,21300.0,Not available,1967 Science and Engineering Scholarships,Schol/Fellow: Eng/Comp Science (H),Thermodynamics,Not available,No Co-Researcher,No Partners,10052,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10052
NQR cryostat,No summary - Aucun sommaire,106259-1991,1991,1991-1992,"Statt, Bryan",University of Toronto,Physics,Ontario,8876.0,1-1,"Research Tools and Instruments - Category 1 (<$150,000)",Condensed Matter Physics,Superconductivity,Physical sciences,No Co-Researcher,No Partners,100520,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100520
NMR of high temperature superconductors,No summary - Aucun sommaire,106332-1991,1991,1991-1992,"Statt, Bryan",University of Toronto,Physics,Ontario,24000.0,1-3,Discovery Grants Program - Individual,Condensed Matter Physics,Superconductivity,Physical sciences,No Co-Researcher,No Partners,100521,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100521
No title - Aucun titre,No summary - Aucun sommaire,36206-1986,1986,1991-1992,"Statt, Bryan",University of Toronto,Physics,Ontario,30500.0,Not available,University Research Fellowships (H),Univ. Res. Fellowships (H),Not available,Not available,No Co-Researcher,No Partners,100522,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100522
Placticity and memory in the olfactory-hippocampal circuit,No summary - Aucun sommaire,105443-1991,1991,1991-1992,"Staubli, Ursula",McGill University,Psychology,Québec,30000.0,1-3,Discovery Grants Program - Individual,"Psychology: Brain, Behaviour & Cognitive Sciences",Behavioural neuroscience --learning,Life sciences (including biotechnology),No Co-Researcher,No Partners,100523,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100523
Atomic collision and atomic structure calculations,No summary - Aucun sommaire,4632-1991,1991,1991-1992,"Stauffer, Allan",York University,Physics & Astronomy,Ontario,20000.0,1-1,Discovery Grants Program - Individual,General Physics,Atomic and molecular studies,Physical sciences,No Co-Researcher,No Partners,100524,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100524
No title - Aucun titre,No summary - Aucun sommaire,119356-1991,1991,1991-1992,"StCoeur, Joanne",Université de Moncton,"Math., physique et informatique",New Brunswick,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Maths/Phys Sc (H),Applied mathematics,Not available,No Co-Researcher,No Partners,100525,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100525
No title - Aucun titre,No summary - Aucun sommaire,119877-1991,1991,1991-1992,"StCroix, Terry",Carleton University,Biology,Ontario,3200.0,Not available,University Undergraduate Student Research Awards,Schol/Fellow: Life Sciences (H),Terrestrial ecology,Not available,No Co-Researcher,No Partners,100526,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100526
No title - Aucun titre,No summary - Aucun sommaire,121561-1991,1991,1991-1992,"StDenis, Yves",BioChem Pharma Inc.,Head Office,Québec,6250.0,Not available,Industrial Research Fellowships,Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,100527,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100527
No title - Aucun titre,No summary - Aucun sommaire,91130-1990,1990,1991-1992,"Stea, Anthony",McMaster University,Biology,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Animal biology,Not available,No Co-Researcher,No Partners,100528,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100528
Engineering characterization of weak rock masses in western Canada using ultrasonic techniques,No summary - Aucun sommaire,36375-1991,1991,1991-1992,"Stead, Douglas",University of Saskatchewan,Geological Sciences,Saskatchewan,17400.0,1-3,Discovery Grants Program - Individual,Civil Engineering,Rock mechanics,Structural engineering,No Co-Researcher,No Partners,100529,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100529
No title - Aucun titre,No summary - Aucun sommaire,194767-1996,1996,1996-1997,"Phoenix, Serge",Delmar Chemicals Inc.,Head Office,Québec,3600.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Schol/Fellow: Maths/Phys Sc (H),Organic chemistry,Not available,No Co-Researcher,No Partners,10053,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10053
Paleozoic reefs and reefbuilders,No summary - Aucun sommaire,2135-1991,1991,1991-1992,"Stearn, Colin",McGill University,Geological Sciences,Québec,47000.0,1-3,Discovery Grants Program - Individual,Solid Earth Sciences,"Paleontology, paleobiology","Oil, gas and coal",No Co-Researcher,No Partners,100530,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100530
No title - Aucun titre,No summary - Aucun sommaire,115484-1991,1991,1991-1992,"Stebeck, Caroline",University of Victoria,Biochemistry & Microbiology,British Columbia,9981.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Biochemistry,Not available,No Co-Researcher,No Partners,100531,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100531
No title - Aucun titre,No summary - Aucun sommaire,112573-1990,1990,1991-1992,"Steckley, Andrew",Rowan Williams Davies and Irwin,Head Office,Ontario,12500.0,Not available,Industrial Research Fellowships,Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100532,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100532
Neuroendocrine control mechanisms in crustacea and insects,No summary - Aucun sommaire,6669-1989,1989,1991-1992,"Steel, Colin",York University,Biology,Ontario,42500.0,3-3,Discovery Grants Program - Individual,Animal Biology (H),Animal biology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100533,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100533
