title,award_summary,application_id,competition_year,fiscal_year,project_lead_name,institution,department,province,award_amount,installment,program,selection_committee,research_subject,area_of_application,co-researchers,partners,external_id,source_url
No title - Aucun titre,No summary - Aucun sommaire,116889-1991,1991,1991-1992,"Smith, Joseph",BioVectra dcl,Head Office,Prince Edward Island,2920.0,Not available,Experience Awards (previously Industrial Undergraduate Student Research Awards),Scholarships & Fellowships,Other studies in natural sciences and engineering,Not available,No Co-Researcher,No Partners,100239,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100239
Etudes spectroscopiques de maromolécules naturelles et synthétiques,No summary - Aucun sommaire,9813-1995,1995,1996-1997,"Pézolet, Michel",Université Laval,Chimie,Québec,53700.0,2-4,Discovery Grants Program - Individual,Anal. & Phys. Chemistry,Spectroscopy,Physical sciences,No Co-Researcher,No Partners,10024,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=10024
Physiological mechanisms underlying insect behaviour,No summary - Aucun sommaire,3498-1991,1991,1991-1992,"Smith, Jonathan",University of Toronto,Zoology,Ontario,20000.0,1-3,Discovery Grants Program - Individual,Animal Physiology (H),Animal physiology and metabolism,Life sciences (including biotechnology),No Co-Researcher,No Partners,100240,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100240
Mass and heat transfer in porous and fractured geologic media,No summary - Aucun sommaire,8492-1991,1991,1991-1992,"Smith, Leslie",The University of British Columbia,Geological Sciences,British Columbia,151100.0,1-2,Discovery Grants Program - Individual,Environmental Earth Sciences,Hydrology,Modelling and mathematical simulation of natural processes,No Co-Researcher,No Partners,100241,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100241
No title - Aucun titre,No summary - Aucun sommaire,96678-1990,1990,1991-1992,"Smith, Jeffrey",University of Guelph,Food Science,Ontario,5588.0,Not available,Postgraduate Scholarships,Schol/Fellow: Life Sciences (H),Food science and technology,Not available,No Co-Researcher,No Partners,100242,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100242
Dynamics of metapopulations of vertebrates,No summary - Aucun sommaire,9697-1991,1991,1991-1992,"Smith, James",The University of British Columbia,Zoology,British Columbia,70000.0,1-3,Discovery Grants Program - Individual,Evolution & Ecology,Terrestrial ecology,Life sciences (including biotechnology),No Co-Researcher,No Partners,100243,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100243
Predictive modelling & assessment of food safety and deterioration,No summary - Aucun sommaire,24871-1989,1989,1991-1992,"Smith, James",McGill University,Food Science & Agricultural Chem.,Québec,19000.0,3-3,Discovery Grants Program - Individual,Plant Biology & Food Science,Food science and technology,Processed food products and beverages,No Co-Researcher,No Partners,100244,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100244
"Packaging/modeling studies for shelf life extension of food; collaborative research at the School of Food Technology, University of New South Wales, Sydney, Australia",No summary - Aucun sommaire,124661-1991,1991,1991-1992,"Smith, James",McGill University,Food Science & Agricultural Chem.,Québec,7600.0,1-1,International Collaborative Research Grant,International Relations (H),Not available,Processed food products and beverages,No Co-Researcher,No Partners,100245,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100245
"Physical, chemical and microbiological studies to ensure public health safety of pasteurized/modified atmosphere packaged food products",No summary - Aucun sommaire,45134-1989,1989,1991-1992,"Smith, James",McGill University,Food Science & Agricultural Chem.,Québec,41750.0,3-3,Strategic Projects - Group,Food/Agriculture (H),Food science and technology,Processed food products and beverages,"Ramaswamy, HoshalliSimpson, Benjamin",No Partners,100246,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100246
George L. Edgett statistical laboratory (Queen's STATLAB),No summary - Aucun sommaire,5588-1990,1990,1991-1992,"Smith, Terry",Queen's University,Mathematics & Statistics,Ontario,34000.0,2-3,Infrastructure Grants (H),Statistical Sciences,Applied statistics,Advancement of knowledge,"Broekhoven, LouisCampbell, LorneGriffin, MalcolmRoss, WilliamStroud, ThomasWasan, MadanlalWatts, Donald",No Partners,100247,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100247
"Studies in the application and evaluation of dispersed phase systems, environmental and occupational pollution control",No summary - Aucun sommaire,1639-1990,1990,1991-1992,"Smith, James",University of Toronto,Applied Science & Engineering(Fac),Ontario,26000.0,2-3,Discovery Grants Program - Individual,Chem. & Metallurgical Eng.,Chemical engineering,Environmental impact of economic activities (including agriculture),No Co-Researcher,No Partners,100248,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100248
Reliable architectures (for flexible manufacturing),No summary - Aucun sommaire,1753-1991,1991,1991-1992,"Smith, Kenneth",University of Toronto,Electrical Engineering,Ontario,30000.0,1-3,Discovery Grants Program - Individual,Electrical Engineering (H),Integrated circuits,Instrumentation technology,No Co-Researcher,No Partners,100249,https://www.nserc-crsng.gc.ca/ase-oro/Details-Detailles_eng.asp?id=100249
